s2,u_opt,rate,mat_users_7d,mat_debt_7d,mat_users_30d,mat_debt_30d,all_users_7d,all_debt_7d,all_users_30d,all_debt_30d
0.2,0.85,0.20917103899873077,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.86,0.2073261132129258,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.87,0.20519735269084316,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.88,0.20271379874841342,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.89,0.19977868954372374,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.9,0.19625655849809612,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.91,0.19195173166455123,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.2,0.92,0.18657069812262012,0,0.0,2,61061771.58898053,21,596.14257534,44,61073308.20628888
0.25,0.85,0.25271379874841343,0,0.0,2,61061771.58898053,24,8849.28624304,48,61089371.58438073
0.25,0.86,0.25040764151615724,0,0.0,2,61061771.58898053,22,1201.3025102000001,48,61089371.58438073
0.25,0.87,0.24774669086355394,0,0.0,2,61061771.58898053,22,1201.3025102000001,48,61089371.58438073
0.25,0.88,0.24464224843551677,0,0.0,2,61061771.58898053,22,1201.3025102000001,47,61077835.30038242
0.25,0.89,0.24097336192965466,0,0.0,2,61061771.58898053,22,1201.3025102000001,47,61077835.30038242
0.25,0.9,0.23657069812262013,0,0.0,2,61061771.58898053,21,596.14257534,47,61077835.30038242
0.25,0.91,0.231189664580689,0,0.0,2,61061771.58898053,21,596.14257534,46,61075137.0178393
0.25,0.92,0.22446337265327512,0,0.0,2,61061771.58898053,21,596.14257534,46,61075137.0178393
0.3,0.85,0.29625655849809607,0,0.0,2,61061771.58898053,25,8849.63748557,51,61101518.2492759
0.3,0.86,0.29348916981938866,0,0.0,2,61061771.58898053,25,8849.63748557,50,61099029.380104624
0.3,0.87,0.2902960290362647,0,0.0,2,61061771.58898053,25,8849.63748557,50,61099029.380104624
0.3,0.88,0.28657069812262015,0,0.0,2,61061771.58898053,25,8849.63748557,50,61099029.380104624
0.3,0.89,0.28216803431558557,0,0.0,2,61061771.58898053,25,8849.63748557,50,61099029.380104624
0.3,0.9,0.2768848377471441,0,0.0,2,61061771.58898053,24,8849.28624304,50,61099029.380104624
0.3,0.91,0.27042759749682677,0,0.0,2,61061771.58898053,24,8849.28624304,50,61099029.380104624
0.3,0.92,0.26235604718393013,0,0.0,2,61061771.58898053,24,8849.28624304,50,61099029.380104624
0.35,0.85,0.33979931824777876,0,0.0,2,61061771.58898053,27,8940.92773661,53,61105000.95028578
0.35,0.86,0.3365706981226201,0,0.0,2,61061771.58898053,27,8940.92773661,53,61105000.95028578
0.35,0.87,0.3328453672089755,0,0.0,2,61061771.58898053,27,8940.92773661,53,61105000.95028578
0.35,0.88,0.32849914780972345,0,0.0,2,61061771.58898053,27,8940.92773661,53,61105000.95028578
0.35,0.89,0.32336270670151646,0,0.0,2,61061771.58898053,27,8940.92773661,52,61104998.6901944
0.35,0.9,0.31719897737166813,0,0.0,2,61061771.58898053,27,8940.92773661,52,61104998.6901944
0.35,0.91,0.30966553041296463,0,0.0,2,61061771.58898053,27,8940.92773661,51,61101518.2492759
0.35,0.92,0.30024872171458517,0,0.0,2,61061771.58898053,26,8850.16462732,51,61101518.2492759
0.4,0.85,0.38334207799746156,0,0.0,3,61288618.177712746,28,8941.44032025,65,61399237.53931589
0.4,0.86,0.3796522264258516,0,0.0,3,61288618.177712746,28,8941.44032025,65,61399237.53931589
0.4,0.87,0.3753947053816863,0,0.0,3,61288618.177712746,28,8941.44032025,62,61391030.43928861
0.4,0.88,0.37042759749682685,0,0.0,3,61288618.177712746,28,8941.44032025,62,61391030.43928861
0.4,0.89,0.36455737908744745,0,0.0,3,61288618.177712746,28,8941.44032025,60,61381163.77070369
0.4,0.9,0.35751311699619226,0,0.0,3,61288618.177712746,27,8940.92773661,60,61381163.77070369
0.4,0.91,0.3489034633291025,0,0.0,2,61061771.58898053,27,8940.92773661,57,61150341.55877228
0.4,0.92,0.3381413962452402,0,0.0,2,61061771.58898053,27,8940.92773661,53,61105000.95028578
0.45,0.85,0.42688483774714414,0,0.0,3,61288618.177712746,29,9859.058713,70,61399298.33036588
0.45,0.86,0.42273375472908303,0,0.0,3,61288618.177712746,29,9859.058713,70,61399298.33036588
0.45,0.87,0.41794404355439707,0,0.0,3,61288618.177712746,29,9859.058713,70,61399298.33036588
0.45,0.88,0.41235604718393015,0,0.0,3,61288618.177712746,29,9859.058713,68,61399283.97892405
0.45,0.89,0.40575205147337834,0,0.0,3,61288618.177712746,28,8941.44032025,66,61399275.52336284
0.45,0.9,0.3978272566207163,0,0.0,3,61288618.177712746,28,8941.44032025,65,61399237.53931589
0.45,0.91,0.38814139624524024,0,0.0,3,61288618.177712746,28,8941.44032025,65,61399237.53931589
0.45,0.92,0.37603407077589523,0,0.0,3,61288618.177712746,28,8941.44032025,63,61398182.24260828
0.5,0.85,0.47042759749682683,0,0.0,3,61288618.177712746,33,10926.396400599999,74,61421057.79261237
0.5,0.86,0.46581528303231445,0,0.0,3,61288618.177712746,31,9879.785425389999,74,61421057.79261237
0.5,0.87,0.46049338172710785,0,0.0,3,61288618.177712746,31,9879.785425389999,73,61419931.370536655
0.5,0.88,0.45428449687103356,0,0.0,3,61288618.177712746,30,9879.28062774,72,61419931.37042367
0.5,0.89,0.44694672385930934,0,0.0,3,61288618.177712746,30,9879.28062774,71,61399338.22742214
0.5,0.9,0.4381413962452403,0,0.0,3,61288618.177712746,30,9879.28062774,70,61399298.33036588
0.5,0.91,0.427379329161378,0,0.0,3,61288618.177712746,30,9879.28062774,70,61399298.33036588
0.5,0.92,0.41392674530655027,0,0.0,3,61288618.177712746,29,9859.058713,68,61399283.97892405
